BUTUAN CITY (Capital),2,1
CITY OF CABADBARAN,2,1
CITY OF BAYUGAN,3,1
LEGAZPI CITY (Capital),5,2
CITY OF LIGAO,5,3
CITY OF TABACO,5,
CITY OF LAMITAN,9,
CITY OF BALANGA (Capital),10,
BATANGAS CITY (Capital),12,
LIPA CITY,12,
CITY OF TANAUAN,12,
BAGUIO CITY,13,
TAGBILARAN CITY (Capital),15,
CITY OF MALAYBALAY (Capital),16,
CITY OF VALENCIA,16,
CITY OF MALOLOS (Capital),17,
CITY OF MEYCAUAYAN,17,
CITY OF SAN JOSE DEL MONTE,17,
TUGUEGARAO CITY (Capital),18,
IRIGA CITY,20,
NAGA CITY,20,
ROXAS CITY (Capital),22,
BACOOR CITY,24,
CAVITE CITY,24,
CITY OF DASMARIÑAS,24,
CITY OF GENERAL TRIAS,24,
IMUS CITY,24,
TAGAYTAY CITY,24,
TRECE MARTIRES CITY (Capital),24,
CITY OF BOGO,25,
CITY OF CARCAR,25,
CEBU CITY (Capital),25,
DANAO CITY,25,
LAPU-LAPU CITY (OPON),25,
MANDAUE CITY,25,
CITY OF NAGA,25,
CITY OF TALISAY,25,
TOLEDO CITY,25,
CITY OF ISABELA (Capital),13,
CITY OF KIDAPAWAN (Capital),28,
COTABATO CITY,29,
CITY OF PANABO,30,
ISLAND GARDEN CITY OF SAMAL,30,
CITY OF TAGUM (Capital),30,
DAVAO CITY,31,
CITY OF DIGOS (Capital),31,
CITY OF MATI (Capital),33,
CITY OF BORONGAN (Capital),35,
CITY OF BATAC,38,
LAOAG CITY (Capital),38,
CITY OF CANDON,39,
CITY OF VIGAN (Capital),39,
ILOILO CITY (Capital),40,
CITY OF PASSI,40,
CITY OF CAUAYAN,41,
ILAGAN CITY (Capital),41,
CITY OF SANTIAGO,41,
CITY OF TABUK (Capital),42,
CITY OF SAN FERNANDO (Capital),43,
CITY OF BIÑAN,44,
CABUYAO CITY,44,
CITY OF CALAMBA,44,
SAN PABLO CITY,44,
CITY OF SAN PEDRO,44,
CITY OF SANTA ROSA,44,
ILIGAN CITY,45,
MARAWI CITY (Capital),46,
CITY OF BAYBAY,47,
ORMOC CITY,47,
TACLOBAN CITY (Capital),47,
CITY OF MASBATE (Capital),50,
OROQUIETA CITY (Capital),51,
OZAMIS CITY,51,
TANGUB CITY,51,
CAGAYAN DE ORO CITY (Capital),52,
CITY OF EL SALVADOR,52,
GINGOOG CITY,52,
CITY OF MANILA,54,
CITY OF LAS PIÑAS,55,
CITY OF MAKATI,55,
CITY OF MUNTINLUPA,55,
CITY OF PARAÑAQUE,55,
PASAY CITY,55,
TAGUIG CITY,55,
CITY OF MANDALUYONG,56,
CITY OF MARIKINA,56,
CITY OF PASIG,56,
QUEZON CITY,56,
CITY OF SAN JUAN,56,
CALOOCAN CITY,57,
CITY OF MALABON,57,
CITY OF NAVOTAS,57,
CITY OF VALENZUELA,57,
BACOLOD CITY (Capital),58,
BAGO CITY,58,
CADIZ CITY,58,
CITY OF ESCALANTE,58,
CITY OF HIMAMAYLAN,58,
CITY OF KABANKALAN,58,
LA CARLOTA CITY,58,
SAGAY CITY,58,
SAN CARLOS CITY,58,
SILAY CITY,58,
CITY OF SIPALAY,58,
CITY OF TALISAY,58,
CITY OF VICTORIAS,58,
BAIS CITY,59,
CITY OF BAYAWAN (TULONG),59,
CANLAON CITY,59,
DUMAGUETE CITY (Capital),59,
CITY OF GUIHULNGAN,59,
CITY OF TANJAY,59,
CABANATUAN CITY,61,
CITY OF GAPAN,61,
SCIENCE CITY OF MUÑOZ,61,
PALAYAN CITY (Capital),61,
SAN JOSE CITY,61,
CITY OF CALAPAN (Capital),64,
PUERTO PRINCESA CITY (Capital),65,
ANGELES CITY,66,
MABALACAT CITY,66,
CITY OF SAN FERNANDO (Capital),66,
CITY OF ALAMINOS,67,
DAGUPAN CITY,67,
SAN CARLOS CITY,67,
CITY OF URDANETA,67,
LUCENA CITY (Capital),68,
CITY OF TAYABAS,68,
CITY OF ANTIPOLO,70,
CALBAYOG CITY,72,
CITY OF CATBALOGAN (Capital),72,
CITY OF SORSOGON (Capital),75,
GENERAL SANTOS CITY (DADIANGAS),76,
CITY OF KORONADAL (Capital),76,
CITY OF MAASIN (Capital),77,
CITY OF TACURONG,78,
SURIGAO CITY (Capital),80,
CITY OF BISLIG,81,
CITY OF TANDAG (Capital),81,
CITY OF TARLAC (Capital),82,
OLONGAPO CITY,84,
DAPITAN CITY,85,
DIPOLOG CITY (Capital),85,
PAGADIAN CITY (Capital),86,
ZAMBOANGA CITY,86,
