ABRA,2
AGUSAN DEL NORTE,17
AGUSAN DEL SUR,17
AKLAN,9
ALBAY,8
ANTIQUE,9
APAYAO,2
AURORA,5
BASILAN,18
BATAAN,5
BATANES,4
BATANGAS,6
BENGUET,2
BILIRAN,11
BOHOL,10
BUKIDNON,14
BULACAN,5
CAGAYAN,4
CAMARINES NORTE,8
CAMARINES SUR,8
CAMIGUIN,14
CAPIZ,9
CATANDUANES,8
CAVITE,6
CEBU,10
COMPOSTELA VALLEY,15
COTABATO (NORTH COTABATO),16
DAVAO DEL NORTE,15
DAVAO DEL SUR,15
DAVAO OCCIDENTAL,15
DAVAO ORIENTAL,15
DINAGAT ISLANDS,17
EASTERN SAMAR,11
GUIMARAS,9
IFUGAO,2
ILOCOS NORTE,3
ILOCOS SUR,3
ILOILO,9
ISABELA,4
KALINGA,2
LA UNION,3
LAGUNA,6
LANAO DEL NORTE,14
LANAO DEL SUR,18
LEYTE,11
MAGUINDANAO,18
MARINDUQUE,7
MASBATE,8
MISAMIS OCCIDENTAL,14
MISAMIS ORIENTAL,14
MOUNTAIN PROVINCE,2
"NCR, CITY OF MANILA, FIRST DISTRICT ",1
"NCR, FOURTH DISTRICT ",1
"NCR, SECOND DISTRICT ",1
"NCR, THIRD DISTRICT ",1
NEGROS OCCIDENTAL,12
NEGROS ORIENTAL,12
NORTHERN SAMAR,11
NUEVA ECIJA,5
NUEVA VIZCAYA,4
OCCIDENTAL MINDORO,7
ORIENTAL MINDORO,7
PALAWAN,7
PAMPANGA,5
PANGASINAN,3
QUEZON,6
QUIRINO,4
RIZAL,6
ROMBLON,7
SAMAR (WESTERN SAMAR),11
SARANGANI,16
SIQUIJOR,10
SORSOGON,8
SOUTH COTABATO,16
SOUTHERN LEYTE,11
SULTAN KUDARAT,16
SULU,18
SURIGAO DEL NORTE,17
SURIGAO DEL SUR,17
TARLAC,5
TAWI-TAWI,18
ZAMBALES,5
ZAMBOANGA DEL NORTE,13
ZAMBOANGA DEL SUR,13
ZAMBOANGA SIBUGAY,13
