(ARMM) Autonomous Region in Muslim Mindanao,150000000
(CAR) Cordillera Administrative Region,140000000
(NCR) National Capital Region,130000000
(NIR) Negros Island Region,180000000
(REGION I) Ilocos Region,10000000
(REGION II)Cagayan Valley,20000000
(REGION III) Central Luzon,30000000
(REGION IV-A) CALABARZON,40000000
(REGION IV-B) MIMAROPA,170000000
(REGION V) Bicol Region,50000000
(REGION VI) Western Visayas,60000000
(REGION VII)Central Visayas,70000000
(REGION VIII) Eastern Visayas,80000000
(REGION IX) Zamboanga Peninsula,90000000
(REGION X) Northern Mindanao,100000000
(REGION XI) Davao Region,110000000
(REGION XII) SOCCSKSARGEN,120000000
(REGION XIII) Caraga,160000000
