#,"Link ID","Name","Target","Descriptive Title","Description","[User Passport Groups] Passport Group ID","[User Passport Groups] Passport Group","[User Passport Groups] Priority","[User Passport Groups] Icon","Show In Tasklist","Status","Icon","Priority"
1,"37","Add barangay","modules/barangay/add_barangay.php","Add Barangay","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
2,"38","Edit barangay","modules/barangay/edit_barangay.php","Edit Barangay","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
3,"39","View barangay","modules/barangay/listview_barangay.php","Barangay","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
4,"40","Delete barangay","modules/barangay/delete_barangay.php","Delete Barangay","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
5,"41","Add barangay clearance","modules/document/add_barangay_clearance.php","Add Barangay Clearance","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
6,"42","Edit barangay clearance","modules/document/edit_barangay_clearance.php","Edit Barangay Clearance","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
7,"43","View barangay clearance","modules/document/listview_barangay_clearance.php","Barangay Clearance","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
8,"44","Delete barangay clearance","modules/document/delete_barangay_clearance.php","Delete Barangay Clearance","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
9,"45","Add bulletin","modules/bulletin/add_bulletin.php","Add Bulletin","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
10,"46","Edit bulletin","modules/bulletin/edit_bulletin.php","Edit Bulletin","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
11,"47","View bulletin","modules/bulletin/listview_bulletin.php","Bulletin","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
12,"48","Delete bulletin","modules/bulletin/delete_bulletin.php","Delete Bulletin","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
13,"49","Add business permit","modules/document/add_business_permit.php","Add Business Permit","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
14,"50","Edit business permit","modules/document/edit_business_permit.php","Edit Business Permit","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
15,"51","View business permit","modules/document/listview_business_permit.php","Business Permit","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
16,"52","Delete business permit","modules/document/delete_business_permit.php","Delete Business Permit","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
17,"53","Add cedula","modules/document/add_cedula.php","Add Cedula","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
18,"54","Edit cedula","modules/document/edit_cedula.php","Edit Cedula","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
19,"55","View cedula","modules/document/listview_cedula.php","Cedula","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
20,"56","Delete cedula","modules/document/delete_cedula.php","Delete Cedula","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
21,"57","Add citizen","modules/citizen/add_citizen.php","Add Citizen","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
22,"58","Edit citizen","modules/citizen/edit_citizen.php","Edit Citizen","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
23,"59","View citizen","modules/citizen/listview_citizen.php","Citizen","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
24,"60","Delete citizen","modules/citizen/delete_citizen.php","Delete Citizen","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
25,"61","Add city","modules/city/add_city.php","Add City","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
26,"62","Edit city","modules/city/edit_city.php","Edit City","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
27,"63","View city","modules/city/listview_city.php","City","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
28,"64","Delete city","modules/city/delete_city.php","Delete City","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
29,"65","Add complain","modules/service/add_complain.php","Add Complain","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
30,"66","Edit complain","modules/service/edit_complain.php","Edit Complain","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
31,"67","View complain","modules/service/listview_complain.php","Complain","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
32,"68","Delete complain","modules/service/delete_complain.php","Delete Complain","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
33,"69","Add day care","modules/service/add_day_care.php","Add Day Care","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
34,"70","Edit day care","modules/service/edit_day_care.php","Edit Day Care","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
35,"71","View day care","modules/service/listview_day_care.php","Day Care","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
36,"72","Delete day care","modules/service/delete_day_care.php","Delete Day Care","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
37,"73","Add document","modules/document/add_document.php","Add Document","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
38,"74","Edit document","modules/document/edit_document.php","Edit Document","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
39,"75","View document","modules/document/listview_document.php","Document","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
40,"76","Delete document","modules/document/delete_document.php","Delete Document","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
