#,"Barangay ID","Barangay Name","Nscb Code","District Number","[City] City ID","[City] City Name","[City] Nscb Code"
1,"1","50th District (Pob.)","104,210,051.00","2","1044","OZAMISCITY","104,210,000.00"
2,"2","A. Beltran (Camalig)","160,205,003.00","2","656","JABONGA","160,205,000.00"
3,"3","A. Bonifacio","34,915,001.00","2nd","798","LLANERA","34,915,000.00"
4,"4","A. Bonifacio-Caguioa-Rimando (ABCR)","141,102,125.00","Lone","111","BAGUIOCITY","141,102,000.00"
5,"5","A. Dalusag","42,107,001.00","7th","569","GENERALEMILIOAGUINALDO","42,107,000.00"
6,"6","A. Mabini","45,618,001.00","4th","599","GUINAYANGAN","45,618,000.00"
7,"7","A. O. Floirendo","112,315,001.00","2","414","CITY OF PANABO","112,315,000.00"
8,"8","A. Pascual","34,926,001.00","2nd","1300","SANJOSECITY","34,926,000.00"
9,"9","A. Rivera (Pob.)","30,805,001.00","1st","614","HERMOSA","30,805,000.00"
10,"10","A?ato","45,630,002.00","1st","1054","PAGBILAO","45,630,000.00"
11,"11","Ababa-an","143,201,001.00","Lone","126","BALBALAN","143,201,000.00"
12,"12","Ab-abut","12,818,001.00","1st","1121","PIDDIG","12,818,000.00"
13,"13","Abaca","12,804,001.00","1st","152","BANGUI","12,804,000.00"
14,"14","Abaca","184,507,001.00","6th","358","CAUAYAN","184,507,000.00"
15,"15","Abaca","25,008,001.00","lone","544","DUPAXDELSUR","25,008,000.00"
16,"16","Abaca","71,231,001.00","3","840","MABINI","71,231,000.00"
17,"17","Abaca","63,039,001.00","4","1259","SANENRIQUE","63,039,000.00"
18,"18","Abaca","63,039,001.00","1","1289","SANJOAQUIN","63,040,000.00"
19,"19","Abaca","60,607,001.00","lone","1563","TOBIASFORNIER (DAO)","60,607,000.00"
20,"20","Abaccan","12,929,001.00","2nd","1439","SIGAY","12,929,000.00"
21,"21","Abachanan","71,240,001.00","3","1438","SIERRABULLONES","71,240,000.00"
22,"22","Abad Santos","71,231,002.00","3","840","MABINI","71,231,000.00"
23,"23","Abad Santos","166,721,001.00","1","1382","SANTAMONICA (SAPAO)","166,721,000.00"
24,"24","Abaga","153,603,001.00","2","134","BALINDONG (WATU)","153,603,000.00"
25,"25","Abaga","103,502,001.00","1","139","BALOI","103,502,000.00"
26,"26","Abaga","103,509,001.00","2","731","LALA","103,509,000.00"
27,"27","Abaga","124,705,001.00","1","782","LIBUNGAN","124,705,000.00"
28,"28","Abaga","153,613,001.00","2","852","MADALUM","153,613,000.00"
29,"29","Abaga","103,515,001.00","2","992","MUNAI","103,514,000.00"
30,"30","Abaga","103,515,001.00","2","1027","NUNUNGAN","103,515,000.00"
31,"31","Abagao","21,510,001.00","1st","312","CAMALANIUGAN","21,510,000.00"
32,"32","Abagao","21,516,001.00","1st","734","LAL-LO","21,516,000.00"
33,"33","Abagat (Pob.)","175,302,007.00","1st","14","AGUTAYA","175,302,000.00"
34,"34","Abagon","36,906,001.00","2nd","579","GERONA","36,906,000.00"
35,"35","Abanao-Zandueta-Kayong-Chugum-Otek (AZKCO)","141,102,129.00","Lone","111","BAGUIOCITY","141,102,000.00"
36,"36","Abang","140,103,001.00","Lone","235","BUCAY","140,103,000.00"
37,"37","Abang","45,623,001.00","1st","816","LUCBAN","45,623,000.00"
38,"38","Abang-abang","63,002,001.00","2","41","ALIMODIAN","63,002,000.00"
39,"39","Abangan Norte","31,411,001.00","4th","937","MARILAO","31,411,000.00"
40,"40","Abangan Sur","31,411,002.00","4th","937","MARILAO","31,411,000.00"
41,"41","Abangay","63,016,001.00","4","516","DINGLE","63,016,000.00"
42,"42","Abangay","63,023,001.00","3","736","LAMBUNAO","63,025,000.00"
43,"43","Abangay","63,037,001.00","3","1161","POTOTAN","63,037,000.00"
44,"44","Abangay","61,917,001.00","2","1536","TAPAZ","61,917,000.00"
45,"45","Abango","83,706,001.00","2","172","BARUGO","83,706,000.00"
46,"46","Abanilla","83,713,001.00","3","309","CALUBIAN","83,713,000.00"
47,"47","Abanon","15,532,001.00","3rd","1254","SANCARLOSCITY","15,532,000.00"
48,"48","Abanqueruan","21,518,001.00","2nd","1070","PAMPLONA","21,518,000.00"
49,"49","Abante","184,616,001.00","2nd","1072","PAMPLONA","184,616,000.00"
50,"50","Abaquid","140,106,001.00","Lone","481","DANGLAS","140,106,000.00"
51,"51","Abar 2nd","34,926,003.00","2nd","1300","SANJOSECITY","34,926,000.00"
52,"52","Abar Ist","34,926,002.00","2nd","1300","SANJOSECITY","34,926,000.00"
53,"53","Abariongan Ruar","21,526,001.00","2nd","1399","SANTONI?O (FAIRE)","21,526,000.00"
54,"54","Abariongan Uneg","21,526,002.00","2nd","1399","SANTONI?O (FAIRE)","21,526,000.00"
55,"55","Abaroan","175,318,001.00","1st","1217","ROXAS","175,318,000.00"
56,"56","Abat","63,031,001.00","3","1018","NEWLUCENA","63,032,000.00"
57,"57","Abatan","144,402,001.00","Lone","190","BAUKO","144,402,000.00"
58,"58","Abatan","141,105,001.00","Lone","245","BUGUIAS","141,105,000.00"
59,"59","Abatan","142,702,001.00","Lone","625","HUNGDUAN","142,702,000.00"
60,"60","Abay","63,029,001.00","3","967","MIAGAO","63,030,000.00"
61,"61","Abaya","12,909,001.00","2nd","560","GALIMUYOD","12,909,000.00"
62,"62","Abbag","25,704,001.00","lone","854","MADDELA","25,704,000.00"
63,"63","Abbeg","21,502,001.00","1st","25","ALCALA","21,502,000.00"
64,"64","Abdullah Buisan","153,618,001.00","1","943","MASIU","153,618,000.00"
65,"65","Abehilan","71,237,002.00","2","1279","SANISIDRO","71,237,000.00"
66,"66","Abejao","82,619,001.00","lone","1187","QUIRINO","23,123,000.00"
67,"67","Abejao","82,619,001.00","lone","1234","SALCEDO (BAUGEN)","12,916,000.00"
68,"68","Abella","50,508,001.00","3","406","CITY OF LIGAO","50,508,000.00"
69,"69","Abelo","41,025,001.00","3rd","1332","SANNICOLAS","41,025,000.00"
70,"70","Aberawan","175,312,018.00","1st","546","ELNIDO (BACUIT)","175,312,000.00"
71,"71","Abeto Mirasol Taft South (Quirino Abeto)","63,022,178.00","lone","661","JANIUAY","63,023,000.00"
72,"72","Abiacao","41,024,001.00","2nd","1314","SANLUIS","41,024,000.00"
73,"73","Abian","25,004,001.00","lone","143","BAMBANG","25,004,000.00"
74,"74","Abiang","141,101,001.00","Lone","83","ATOK","141,101,000.00"
75,"75","Abiawin","45,620,001.00","1st","642","INFANTA","45,620,000.00"
76,"76","Abiera","60,615,001.00","lone","1420","SEBASTE","60,615,000.00"
77,"77","Abihid","71,220,001.00","3","509","DIMIAO","71,220,000.00"
78,"78","Abihilan","71,211,001.00","3","321","CANDIJAY","71,211,000.00"
79,"79","Abijilan","71,222,001.00","3","566","GARCIAHERNANDEZ","71,222,000.00"
80,"80","Abijod","112,505,001.00","1","354","CATEEL","112,505,000.00"
81,"81","Abilan","160,201,001.00","2","237","BUENAVISTA","160,201,000.00"
82,"82","Abilay","63,029,002.00","3","967","MIAGAO","63,030,000.00"
83,"83","Abilay Norte","63,034,001.00","1","415","CITY OF PASSI","63,035,000.00"
84,"84","Abilay Sur","63,034,002.00","1","415","CITY OF PASSI","63,035,000.00"
85,"85","Abinganan","25,004,002.00","lone","143","BAMBANG","25,004,000.00"
86,"86","Abinuan","142,704,001.00","Lone","724","LAGAWE (Capital)","142,704,000.00"
87,"87","Abis","184,614,001.00","2nd","838","MABINAY","184,614,000.00"
88,"88","Abkir","12,823,001.00","1st","1625","VINTAR","12,823,000.00"
89,"89","Ablan Pob. (Labucao)","12,805,023.00","2nd","379","CITY OF BATAC","12,805,000.00"
90,"90","Ablan Sarat","12,806,001.00","1st","258","BURGOS","12,806,000.00"
91,"91","Ablang-Sapang","36,909,001.00","1st","982","MONCADA","36,909,000.00"
92,"92","Ablayan","72,222,001.00","2","457","CORELLA","71,215,000.00"
93,"93","Ableg","140,105,001.00","Lone","474","DAGUIOMAN","140,105,000.00"
94,"94","Ableg","143,208,001.00","Lone","1103","PASIL","143,208,000.00"
95,"95","Abnate","112,406,001.00","2","708","KIBLAWAN","112,406,000.00"
96,"96","Abo","43,417,001.00","3rd","1002","NAGCARLAN","43,417,000.00"
97,"97","Abo-abo","45,627,001.00","1st","954","MAUBAN","45,627,000.00"
98,"98","Abo-abo","184,520,001.00","3rd","993","MURCIA","184,520,000.00"
99,"99","Abo-abo","175,324,001.00","2nd","1461","SOF RONIOESPA?OLA","175,324,000.00"
100,"100","Abogado","36,910,001.00","1st","1087","PANIQUI","36,910,000.00"
101,"101","Abolo","21,504,001.00","3rd","55","AMULUNG","21,504,000.00"
102,"102","Abonagan","15,524,001.00","3rd","888","MALASIQUI","15,524,000.00"
103,"103","Abong","63,014,001.00","5","336","CARLES","63,014,000.00"
104,"104","Abong-Abong","150,704,001.00","lone","900","MALUSO","150,704,000.00"
