Calaocan,37706004,lone,518
Calaocan,15525014,4th,907
Calaocan,25011005,lone,1182
Calaocan,143211002,Lone,1203
Calaocan,23127002,4th,1242
Calaocan,34926006,2nd,1300
Calaocan,15536007,6th,1334
Calaocan (Pob.),23101010,3rd,38
Calaocan (Pob.),25004010,lone,143
Calaocan District,34923007,2nd,1200
Calapacuan,37114008,1st,1471
Calapadan,60602010,lone,163
Calapagan,112507006,2,831
Calapan,36909010,1st,982
Calapandayan (Pob.),37114009,1st,1471
Calapangan,21526007,2nd,1399
Calapangan Norte,21517005,2nd,754
Calapangan Sur,21517006,2nd,754
Calaparan,63022031,lone,661
Calapaton,101309007,3,711
Calapawan,61904011,2,541
Calapawan,61909018,1,1074
Calapdan,63019006,5,553
Calape,72221006,4,454
Calapi,184511009,5th,621
Calapugan,15529007,6th,1012
Calaran,104204003,1,293
Calasag,175311003,1st,540
Calasag,31419012,3rd,1276
Calasaguen,175306004,2nd,232
Calasga-an,184604006,2nd,114
Calassitan,21526008,2nd,1399
Calasumanga,45631004,1st,1093
Calatagan,72240004,2,1208
Calatagbak,175317023,2nd,1183
Calatcat,104301003,2,50
Calategas,175315007,2nd,1008
Calatngan,166816005,1,1328
Calatrava,71212005,3,338
Calautit,13303015,1st,92
Calautit,12928006,1st,1393
Calawag,104302008,1,135
Calawag,175105004,lone,867
Calawag,124712013,1,1124
Calawag,175320008,1st,1543
Calawagan,63012014,3,276
Calawagan (Kalawagan),34903040,3rd,272
Calawe,103516008,2,1090
Calawinan,63017016,4,531
Calawisan,72226007,lone,540
Calawit,41004002,3rd,129
Calawitan,31419013,3rd,1276
Calaya,67903002,lone,1025
Calayaan,36906009,2nd,579
Calayaan,41027004,3rd,1388
Calay-ab,12928007,1st,1393
Calayan,21514008,1st,591
Calayan,150703037,lone,741
Calaylayan (Pob.),30801002,2nd,3
Calayo,63012015,3,276
Calayo,41019020,1st,1011
Calayugan,184623009,3rd,1609
Calayugan Norte,71230017,1,805
Calayugan Sur,71230018,1,805
Calbani,87807009,lone,939
Calbayog,50509002,1,891
Calbueg,15524026,3rd,888
Caldong,45639011,1st,1241
Cale,41031015,3rd,430
Cale,63021015,1,629
Calean,126511003,1,426
Calem,34911017,1st,597
Calendola,43425021,1st,420
Calepaan,15506008,6th,78
Caleriohan,72222007,2,457
Calero,31410017,1st,409
Calero,72227002,5,584
Calero (Pob.),175205013,1st,389
Calero (Pob.),30809004,1st,1037
Cali,83710013,2,256
Cali,12809009,2nd,517
Cali,63018013,4,538
Calian,118601001,N/A,528
Caliat (Pob.),25011006,lone,1182
Calibagat,153615071,2,883
Caliban,184520011,3rd,993
Calibangbangan,175313003,1st,794
Calibao,103506006,2,1480
Calibunan,160203011,2,387
Calibungan,36917009,2nd,1616
Calibutbut,35404005,3rd,97
Calibuyo,42120007,6th,1535
Calicanan,184616017,2nd,1072
Calicanto,41005014,2nd,181
Calicanto,41023007,4th,1303
Caliclic (Dangca-an),112317007,2,650
Calico-an,82604015,lone,318
Calicuang,63016008,4,516
Calidngan,72214003,1,357
California,63008004,5,170
California,71246056,2,1599
Caligayan,23137012,1st,1593
Caliguian (Pob.),23105004,2nd,260
Caliking,141101002,Lone,83
Calilangan,153602007,2,117
Calilangan,153611021,1,821
Calilangan Dicala,153622012,1,1157
Caliligawan,31410018,1st,409
Caliling,184507009,6th,358
Calillauan,21527040,3rd,1464
Calima,175210009,1st,1150
Calimag,142707003,Lone,35
Calimaturod,23109002,4th,455
Calimbajan,60411009,lone,881
Calimodan,103518004,2,1237
Calimpak,45618010,4th,599
Calimugtong,12909006,2nd,560
Calinan (Pob.),112402026,3 LD,500
Calinaoan Centro,23136013,1st,1402
Calinaoan Malasin,23136015,1st,1402
Calinaoan Norte,23136016,1st,1402
Calinaoan Sur,23118006,1st,502
Calincamasan,13316012,1st,1304
Calindagan,184610009,2nd,534
Calinga-an,71239003,3,1423
Calingag,175209007,2nd,1136
Calingatan,41018009,3rd,945
Calingatngan,82604016,lone,318
