ABORLAN,175301000,62
ABRADEILOG,175101000,60
ABUCAY,30801000,10
ABULUG,21501000,18
ABUYOG,83701000,47
ADAMS,12801000,38
AGDANGAN,45601000,65
AGLIPAY,25701000,66
AGNO,15501000,64
AGONCILLO,41001000,12
AGOO,13301000,43
AGUILAR,15502000,64
AGUINALDO,142708000,37
AGUTAYA,175302000,62
AJUY,63001000,40
AKBAR,150708000,9
ALABAT,45602000,65
ALABEL (Capital),128001000,70
ALAMADA,124701000,28
ALAMINOS,43401000,44
ALANGALANG,83702000,47
AL-BARKA,150709000,9
ALBUERA,83703000,47
ALBURQUERQUE,71201000,15
ALCALA,21502000,18
ALCALA,15504000,64
ALCANTARA,72201000,25
ALCANTARA,175901000,68
ALCOY,72202000,25
ALEGRIA,72203000,25
ALEGRIA,166701000,77
ALEOSAN,124717000,28
ALFONSO,42101000,24
ALFONSOCASTANEDA,25015000,59
ALFONSOLISTA (POTIA),142707000,37
ALIAGA,34901000,58
ALICIA,71202000,15
ALICIA,23101000,41
ALICIA,98301000,84
ALILEM,12901000,39
ALIMODIAN,63002000,40
ALITAGTAG,41002000,12
ALLACAPAN,21503000,18
ALLEN,84801000,57
ALMAGRO,86001000,69
ALMERIA,87801000,14
ALOGUINSAN,72204000,25
ALORAN,104201000,52
ALTAVAS,60401000,4
ALUBIJID,104301000,52
AMADEO,42102000,24
AMBAGUIO,25001000,59
AMLAN (AYUQUITAN),184601000,56
AMPATUAN,153801000,48
AMULUNG,21504000,18
ANAHAWAN,86401000,74
ANAO,36901000,79
ANDA,71203000,15
ANDA,15505000,64
ANGADANAN,23102000,41
ANGAT,31401000,17
ANGELESCITY,35401000,63
ANGONO,45801000,67
ANILAO,63003000,40
ANINI-Y,60601000,6
ANTEQUERA,71204000,15
ANTIPAS,124715000,28
APALIT,35402000,63
APARRI,21505000,18
ARACELI,175303000,62
ARAKAN,124718000,28
ARAYAT,35403000,63
ARGAO,72205000,25
ARINGAY,13302000,43
ARITAO,25002000,59
AROROY,54101000,50
ARTECHE,82601000,35
ASINGAN,15506000,64
ASIPULO,142711000,37
ASTURIAS,72206000,25
ASUNCION (SAUG),112301000,30
ATIMONAN,45603000,65
ATOK,141101000,13
AURORA,23103000,41
AURORA,97302000,83
AYUNGON,184602000,56
BAAO,51701000,20
BABATNGON,83705000,47
BACACAY,50501000,5
BACARRA,12802000,38
BACLAYON,71205000,15
BACNOTAN,13303000,43
BACO,175201000,61
BACOLOD,103501000,45
BACOLODCITY (Capital),184501000,55
BACOLOD-KALAWI (BACOLODGRANDE),153601000,46
BACOLOR,35404000,63
BACONG,184603000,56
BACOORCITY,42103000,24
BACUAG,166702000,77
BACUNGAN (LeonTPostigo),97226000,82
BADIAN,72207000,25
BADIANGAN,63004000,40
BADOC,12803000,38
BAGABAG,25003000,59
BAGAC,30802000,10
BAGAMANOC,52001000,23
BAGANGA,112501000,33
BAGGAO,21506000,18
BAGOCITY,184502000,55
BAGUIOCITY,141102000,13
BAGULIN,13304000,43
BAGUMBAYAN,126501000,75
BAISCITY,184604000,56
BAKUN,141103000,13
BALABAC,175304000,62
BALABAGAN,153602000,46
BALAGTAS (BIGAA),31402000,17
BALAMBAN,72208000,25
BALANGIGA,82602000,35
BALANGKAYAN,82603000,35
BALAOAN,13305000,43
BALASAN,63005000,40
BALATAN,51702000,20
BALAYAN,41003000,12
BALBALAN,143201000,42
BALENO,54102000,50
BALER (Capital),37701000,8
BALETE,60402000,4
BALETE,41004000,12
BALIANGAO,104202000,51
BALIGUIAN,97224000,82
BALILIHAN,71206000,15
BALINDONG (WATU),153603000,46
BALINGASAG,104302000,52
BALINGOAN,104303000,52
BALIUAG,31403000,17
BALLESTEROS,21507000,18
BALOI,103502000,45
BALUD,54103000,50
BALUNGAO,15507000,64
BAMBAN,36902000,79
BAMBANG,25004000,59
BANATE,63006000,40
BANAUE,142701000,37
BANAYBANAY,112502000,33
BANAYOYO,12902000,39
BANGA,60403000,4
BANGA,126302000,73
BANGAR,13306000,43
BANGUED (Capital),140101000,1
BANGUI,12804000,38
BANI,15508000,64
BANISILAN,124716000,28
BANNA (ESPIRITU),12811000,38
BANSALAN,112401000,31
BANSUD,175202000,61
BANTAY,12903000,39
BANTAYAN,72209000,25
BANTON,175902000,68
BARAS,52002000,23
BARAS,45803000,67
BARBAZA,60602000,6
BARCELONA,56202000,72
BARILI,72210000,25
BARIRA,153818000,48
BARLIG,144401000,53
BAROBO,166801000,78
BAROTACNUEVO,63007000,40
BAROTACVIEJO,63008000,40
BAROY,103503000,45
BARUGO,83706000,47
BASAY,184605000,56
BASCO (Capital),20901000,11
BASEY,86002000,69
BASILISA (RIZAL),168501000,34
BASISTA,15509000,64
BASUD,51601000,19
BATAD,63009000,40
BATAN,60404000,4
BATANGASCITY (Capital),41005000,12
BATARAZA,175305000,62
BATO,51703000,20
BATO,52003000,23
BATO,83707000,47
BATUAN,71207000,15
BATUAN,54104000,50
BAUAN,41006000,12
BAUANG,13307000,43
BAUKO,144402000,53
BAUNGON,101301000,16
BAUTISTA,15510000,64
BAY,43402000,44
BAYABAS,166802000,78
BAYAMBANG,15511000,64
BAYANG,153604000,46
BAYOG,97303000,83
BAYOMBONG (Capital),25005000,59
BELISON,60603000,6
BENITOSOLIVEN,23104000,41
BESAO,144403000,53
BIENUNIDO,71248000,15
BILAR,71208000,15
BILIRAN,87802000,14
BINALBAGAN,184503000,55
BINALONAN,15512000,64
BINANGONAN,45804000,67
BINDOY (PAYABON),184607000,56
BINGAWAN,63010000,40
BINIDAYAN,153605000,46
BINMALEY,15513000,64
BINUANGAN,104304000,52
BIRI,84802000,57
BOAC (Capital),174001000,49
BOBON,84803000,57
BOCAUE,31404000,17
BOKOD,141104000,13
BOLINAO,15514000,64
BOLINEY,140102000,1
BOLJOON,72212000,25
BOMBON,51704000,20
BONGABON,34902000,58
BONGABONG,175203000,61
BONGAO (Capital),157002000,80
BONIFACIO,104203000,51
BONTOC,86402000,74
BONTOC (Capital),144404000,53
BORBON,72213000,25
BOSTON,112503000,33
BOTOLAN,37101000,81
BRAULIOEDUJALI,112323000,30
BROOKE'SPOINT,175306000,62
BUADIPOSO-BUNTONG,153633000,46
BUBONG,153606000,46
BUCAY,140103000,1
BUCLOC,140104000,1
BUENAVISTA,160201000,2
BUENAVISTA,71209000,15
BUENAVISTA,67901000,36
BUENAVISTA,174002000,49
BUENAVISTA,45605000,65
BUGALLON,15515000,64
BUGASONG,60604000,6
BUGUEY,21508000,18
BUGUIAS,141105000,13
BUHI,51705000,20
BULA,51706000,20
BULACAN,31405000,17
BULALACAO (SANPEDRO),175204000,61
BULAN,56203000,72
BULDON,153802000,48
BULUAN,153803000,48
BULUSAN,56204000,72
BUMBARAN,153637000,46
BUNAWAN,160302000,3
BURAUEN,83710000,47
BURDEOS,45606000,65
BURGOS,12806000,38
BURGOS,12904000,39
BURGOS,23105000,41
BURGOS,13308000,43
BURGOS,15516000,64
BURGOS,166704000,77
BURUANGA,60405000,4
BUSTOS,31406000,17
BUSUANGA,175307000,62
BUTIG,153607000,46
BUTUANCITY (Capital),160202000,2
BUUG,98302000,84
CABA,13309000,43
CABAGAN,23106000,41
CABANATUANCITY,34903000,58
CABANGAN,37102000,81
CABANGLASAN,101322000,16
CABARROGUIS (Capital),25702000,66
CABATUAN,63012000,40
CABATUAN,23107000,41
CABIAO,34904000,58
CABUCGAYAN,87803000,14
CABUGAO,12905000,39
CABUSAO,51707000,20
CABUYAOCITY,43404000,44
CADIZCITY,184504000,55
CAGAYANCILLO,175308000,62
CAGAYANDEOROCITY (Capital),104305000,52
CAGDIANAO,168502000,34
CAGWAIT,166804000,78
CAIBIRAN,87804000,14
CAINTA,45805000,67
CAJIDIOCAN,175903000,68
CALABANGA,51708000,20
CALACA,41007000,12
CALAMBA,104204000,51
CALANASAN (BAYAG),148101000,7
CALANOGAS,153632000,46
CALAPE,71210000,15
CALASIAO,15517000,64
CALATAGAN,41008000,12
CALATRAVA,184505000,55
CALATRAVA,175904000,68
CALAUAG,45607000,65
CALAUAN,43406000,44
CALAYAN,21509000,18
CALBAYOGCITY,86003000,69
CALBIGA,86004000,69
CALINOG,63013000,40
CALINTAAN,175102000,60
CALOOCAN CITY,137501000,54
CALUBIAN,83713000,47
CALUMPIT,31407000,17
CALUYA,60605000,6
CAMALANIUGAN,21510000,18
CAMALIG,50502000,5
